

Software Version	3.10.06



Experiment File Path:	C:\Users\yeung\Documents\aqib\platereader\reporter_screen_v2.xpt
Protocol File Path:	C:\Users\yeung\Documents\aqib\platereader\od_sfgfp_malsensors.prt



Plate Number	Plate 10
Date	5/10/2022
Time	12:46:57 PM
Reader Type:	Synergy H1
Reader Serial Number:	21010726
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:03:00, 961 Reads
    Shake	Double Orbital: Continuous
	Frequency: 807 cpm (1 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
    Read	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Bottom,  Gain: 60
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A	SPL1	SPL9	SPL17	SPL25	SPL33	SPL41	SPL49	SPL57	SPL65	SPL73	SPL81	SPL89	Well ID
B	SPL2	SPL10	SPL18	SPL26	SPL34	SPL42	SPL50	SPL58	SPL66	SPL74	SPL82	SPL90	Well ID
C	SPL3	SPL11	SPL19	SPL27	SPL35	SPL43	SPL51	SPL59	SPL67	SPL75	SPL83	SPL91	Well ID
D	SPL4	SPL12	SPL20	SPL28	SPL36	SPL44	SPL52	SPL60	SPL68	SPL76	SPL84	SPL92	Well ID
E	SPL5	SPL13	SPL21	SPL29	SPL37	SPL45	SPL53	SPL61	SPL69	SPL77	SPL85	SPL93	Well ID
F	SPL6	SPL14	SPL22	SPL30	SPL38	SPL46	SPL54	SPL62	SPL70	SPL78	SPL86	SPL94	Well ID
G	SPL7	SPL15	SPL23	SPL31	SPL39	SPL47	SPL55	SPL63	SPL71	SPL79	SPL87	SPL95	Well ID
H	SPL8	SPL16	SPL24	SPL32	SPL40	SPL48	SPL56	SPL64	SPL72	SPL80	SPL88	SPL96	Well ID

Read 1:600

Time	T° Read 1:600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:01:18	30.0	0.037	0.037	0.037	0.036	0.035	0.036	0.037	0.035	0.036	0.035	0.035	0.035	0.037	0.698	0.696	0.695	0.679	0.689	0.688	0.680	0.676	0.694	0.042	0.035	0.037	0.421	0.449	0.452	0.450	0.440	0.434	0.436	0.440	0.448	0.043	0.035	0.036	0.595	0.599	0.610	0.621	0.618	0.614	0.616	0.626	0.624	0.043	0.036	0.036	0.036	0.037	0.036	0.037	0.036	0.037	0.036	0.037	0.036	0.045	0.037	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.037	0.036	0.039	0.035	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.036	0.037	0.035	0.035	0.037	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.036	0.036	0.036
0:04:18	30.1	0.037	0.037	0.037	0.036	0.034	0.036	0.037	0.035	0.036	0.035	0.035	0.035	0.037	0.687	0.690	0.689	0.684	0.690	0.691	0.680	0.684	0.689	0.042	0.035	0.037	0.410	0.435	0.440	0.435	0.430	0.424	0.423	0.429	0.436	0.043	0.035	0.036	0.592	0.597	0.607	0.612	0.609	0.610	0.612	0.613	0.618	0.043	0.036	0.036	0.036	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.036	0.045	0.037	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.037	0.036	0.039	0.035	0.037	0.036	0.036	0.036	0.036	0.035	0.035	0.036	0.037	0.035	0.035	0.037	0.035	0.035	0.035	0.036	0.036	0.036	0.035	0.036	0.036	0.036
0:07:18	30.0	0.037	0.037	0.037	0.036	0.034	0.036	0.037	0.035	0.036	0.035	0.035	0.034	0.037	0.690	0.691	0.687	0.687	0.690	0.694	0.690	0.694	0.695	0.042	0.035	0.037	0.398	0.423	0.420	0.418	0.413	0.407	0.408	0.418	0.421	0.043	0.035	0.036	0.592	0.599	0.608	0.613	0.618	0.617	0.624	0.625	0.616	0.043	0.036	0.036	0.036	0.037	0.036	0.036	0.036	0.037	0.036	0.036	0.036	0.045	0.037	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.037	0.036	0.039	0.035	0.037	0.036	0.036	0.036	0.036	0.035	0.035	0.036	0.037	0.035	0.035	0.037	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.036	0.036	0.036
0:10:18	30.0	0.037	0.037	0.037	0.036	0.034	0.036	0.037	0.035	0.036	0.035	0.035	0.035	0.037	0.701	0.704	0.698	0.700	0.702	0.708	0.703	0.709	0.701	0.042	0.035	0.037	0.392	0.421	0.420	0.423	0.411	0.406	0.408	0.413	0.422	0.043	0.035	0.036	0.602	0.614	0.621	0.628	0.629	0.628	0.632	0.635	0.624	0.043	0.036	0.036	0.036	0.037	0.036	0.037	0.036	0.037	0.036	0.037	0.036	0.045	0.037	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.037	0.036	0.039	0.035	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.036	0.037	0.035	0.035	0.037	0.035	0.035	0.035	0.036	0.036	0.036	0.035	0.036	0.036	0.036
0:13:18	30.0	0.037	0.037	0.037	0.036	0.035	0.036	0.037	0.035	0.036	0.035	0.035	0.035	0.037	0.718	0.716	0.711	0.712	0.712	0.719	0.709	0.716	0.713	0.042	0.035	0.037	0.400	0.437	0.433	0.434	0.425	0.414	0.422	0.424	0.435	0.043	0.035	0.036	0.608	0.620	0.628	0.637	0.638	0.637	0.643	0.646	0.633	0.043	0.036	0.036	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.045	0.037	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.037	0.036	0.039	0.035	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.036	0.037	0.035	0.035	0.037	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.036	0.037	0.036
0:16:18	30.0	0.037	0.037	0.037	0.036	0.034	0.036	0.037	0.035	0.036	0.035	0.035	0.035	0.037	0.736	0.736	0.730	0.725	0.722	0.728	0.721	0.722	0.726	0.042	0.035	0.037	0.407	0.450	0.452	0.444	0.440	0.431	0.432	0.436	0.451	0.043	0.035	0.036	0.623	0.636	0.644	0.648	0.645	0.647	0.648	0.649	0.652	0.043	0.036	0.036	0.036	0.037	0.036	0.037	0.036	0.037	0.037	0.037	0.036	0.045	0.037	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.037	0.036	0.039	0.035	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.036	0.037	0.035	0.035	0.037	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.036	0.036	0.036
0:19:18	30.0	0.037	0.037	0.037	0.036	0.035	0.036	0.037	0.035	0.036	0.035	0.035	0.035	0.037	0.754	0.754	0.747	0.736	0.734	0.739	0.730	0.734	0.746	0.042	0.035	0.037	0.436	0.468	0.473	0.454	0.451	0.445	0.444	0.444	0.471	0.043	0.035	0.036	0.646	0.647	0.657	0.659	0.656	0.658	0.657	0.658	0.668	0.043	0.036	0.036	0.036	0.037	0.036	0.037	0.036	0.037	0.036	0.037	0.036	0.045	0.037	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.037	0.036	0.039	0.035	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.036	0.037	0.035	0.035	0.037	0.035	0.035	0.035	0.036	0.036	0.036	0.035	0.036	0.036	0.036
0:22:18	30.0	0.037	0.037	0.037	0.036	0.034	0.036	0.037	0.035	0.036	0.035	0.035	0.035	0.037	0.774	0.765	0.770	0.749	0.743	0.750	0.747	0.746	0.764	0.042	0.035	0.037	0.453	0.492	0.490	0.467	0.468	0.469	0.457	0.459	0.488	0.043	0.035	0.036	0.681	0.665	0.666	0.671	0.669	0.670	0.669	0.668	0.681	0.043	0.036	0.036	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.045	0.037	0.035	0.036	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.037	0.036	0.039	0.035	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.036	0.037	0.035	0.035	0.037	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.036	0.037	0.037
0:25:18	30.0	0.037	0.037	0.037	0.036	0.035	0.036	0.037	0.035	0.036	0.035	0.035	0.035	0.037	0.796	0.791	0.789	0.763	0.756	0.767	0.760	0.760	0.762	0.042	0.035	0.037	0.465	0.513	0.503	0.479	0.487	0.489	0.472	0.476	0.505	0.042	0.035	0.036	0.687	0.699	0.700	0.689	0.690	0.679	0.679	0.682	0.686	0.043	0.036	0.036	0.036	0.037	0.036	0.037	0.036	0.037	0.036	0.037	0.036	0.045	0.037	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.037	0.036	0.039	0.035	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.036	0.037	0.035	0.035	0.037	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.036	0.037	0.036
0:28:18	30.0	0.037	0.037	0.037	0.036	0.034	0.036	0.037	0.035	0.036	0.035	0.035	0.035	0.037	0.816	0.812	0.804	0.776	0.768	0.783	0.767	0.769	0.773	0.042	0.035	0.037	0.486	0.523	0.521	0.490	0.500	0.501	0.488	0.487	0.511	0.042	0.035	0.036	0.706	0.701	0.709	0.699	0.700	0.686	0.687	0.693	0.697	0.043	0.036	0.036	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.045	0.037	0.035	0.035	0.037	0.036	0.036	0.036	0.036	0.037	0.037	0.036	0.037	0.036	0.039	0.035	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.036	0.037	0.035	0.035	0.037	0.035	0.035	0.035	0.037	0.036	0.036	0.035	0.036	0.036	0.036
